-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 07/01/1983 through 07/05/1983 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M,ALLSKY_SFC_SW_DWN
-39.75,-69.75,1983,07,01,    5.30,              1.71
-39.75,-69.25,1983,07,01,    5.04,              1.71
-39.75,-68.75,1983,07,01,    4.59,              1.57
-39.75,-68.25,1983,07,01,    5.04,              1.57
-39.75,-67.75,1983,07,01,    5.85,              1.31
-39.75,-67.25,1983,07,01,    6.41,              1.31
-39.75,-66.75,1983,07,01,    6.68,              1.37
-39.75,-66.25,1983,07,01,    6.97,              1.37
-39.75,-65.75,1983,07,01,    7.27,              0.81
-39.25,-69.75,1983,07,01,    5.79,              1.71
-39.25,-69.25,1983,07,01,    6.34,              1.71
-39.25,-68.75,1983,07,01,    5.96,              1.57
-39.25,-68.25,1983,07,01,    6.07,              1.57
-39.25,-67.75,1983,07,01,    6.47,              1.31
-39.25,-67.25,1983,07,01,    6.71,              1.31
-39.25,-66.75,1983,07,01,    6.96,              1.37
-39.25,-66.25,1983,07,01,    7.27,              1.37
-39.25,-65.75,1983,07,01,    7.44,              0.81
-38.75,-69.75,1983,07,01,    5.68,              2.06
-38.75,-69.25,1983,07,01,    6.38,              2.06
-38.75,-68.75,1983,07,01,    6.14,              1.38
-38.75,-68.25,1983,07,01,    6.62,              1.38
-38.75,-67.75,1983,07,01,    6.91,              1.32
-38.75,-67.25,1983,07,01,    7.18,              1.32
-38.75,-66.75,1983,07,01,    7.74,              1.21
-38.75,-66.25,1983,07,01,    8.06,              1.21
-38.75,-65.75,1983,07,01,    7.99,              1.12
-38.25,-69.75,1983,07,01,    5.92,              2.06
-38.25,-69.25,1983,07,01,    6.10,              2.06
-38.25,-68.75,1983,07,01,    5.61,              1.38
-38.25,-68.25,1983,07,01,    6.54,              1.38
-38.25,-67.75,1983,07,01,    7.29,              1.32
-38.25,-67.25,1983,07,01,    7.91,              1.32
-38.25,-66.75,1983,07,01,    8.61,              1.21
-38.25,-66.25,1983,07,01,    8.65,              1.21
-38.25,-65.75,1983,07,01,    8.31,              1.12
-37.75,-69.75,1983,07,01,    5.40,              1.57
-37.75,-69.25,1983,07,01,    5.51,              1.57
-37.75,-68.75,1983,07,01,    5.62,              2.02
-37.75,-68.25,1983,07,01,    6.88,              2.02
-37.75,-67.75,1983,07,01,    7.95,              1.87
-37.75,-67.25,1983,07,01,    8.47,              1.87
-37.75,-66.75,1983,07,01,    8.73,              1.45
-37.75,-66.25,1983,07,01,    8.48,              1.45
-37.75,-65.75,1983,07,01,    8.21,              1.37
-39.75,-69.75,1983,07,02,    3.76,              2.44
-39.75,-69.25,1983,07,02,    3.82,              2.44
-39.75,-68.75,1983,07,02,    3.48,              2.29
-39.75,-68.25,1983,07,02,    3.85,              2.29
-39.75,-67.75,1983,07,02,    5.06,              2.47
-39.75,-67.25,1983,07,02,    6.16,              2.47
-39.75,-66.75,1983,07,02,    6.67,              2.56
-39.75,-66.25,1983,07,02,    7.03,              2.56
-39.75,-65.75,1983,07,02,    7.51,              2.56
-39.25,-69.75,1983,07,02,    4.26,              2.44
